id;project_id;name;start_date;end_date;progress;created_at;description;pic;status;wbs_number;monev;phase;parent_task_id;progress_override;progress_override_by;progress_override_at;ai_progress;ai_progress_reasoning;deliverable_result;problem
500ba809-ee29-4445-9b85-4bafb084b03d;7ccef8d8-f13b-4e9b-911f-859e8622f049;Mengubah metode dari INA-CBGs ke iDRG;2025-10-20;2025-11-10;100;2026-02-04 01:03:50.106714+00;;Hariri;completed;1;;execution;;;;;;;;
204825e2-03d7-4b30-9744-d45872a24434;efb258e2-81b3-4c8b-95ae-c976879891b4;Assessment Jaringan;2025-10-29;2025-11-12;100;2026-02-04 01:24:00.419285+00;Assessment Device infrastruktur jaringan RSCM;Biznet;completed;1.1;;planning;;;;;;;;
8562d6cf-d47f-4219-8e7d-296c71619864;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Modul Customization;2026-04-05;2026-05-23;50;2026-04-20 11:16:49.877815+00;;IPSTI;in_progress;1;;Development & Integration;;;;;;;;
4b0380b5-275b-4065-90c3-2744bf805abb;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Pengembangan Backend Core;2026-02-05;2026-03-21;100;2026-02-04 04:06:15.653514+00;Pengembangan infrastruktur backend, API, dan integrasi database untuk manajemen proposal.;;completed;2.1;;execution;;;;;;;;
bd8223d2-8d18-4b05-9a2e-411cb862fd11;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Training dan Handover;2026-06-21;2026-06-30;0;2026-02-04 04:06:19.389415+00;Pelatihan bagi administrator dan pengguna akhir serta penyusunan dokumentasi panduan penggunaan.;;not_started;4.1;;followup;;;;;;;;
1a61c8d1-30d4-4f01-8d01-a4ba2f2d703f;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Pengujian Sistem (QA/UAT);2026-05-31;2026-06-13;0;2026-02-04 04:06:17.84193+00;Melakukan User Acceptance Test (UAT), bug fixing, dan pengujian performa sistem secara menyeluruh.;;not_started;3.1;;evaluation;;;;;;;;
b5e37e54-3ed7-4068-a140-6564841e8927;7c88cb9d-9424-4446-861b-f2ccfe21924b;Finalisasi dan Deployment System;2026-03-02;2026-05-23;0;2026-02-04 04:05:40.626703+00;Finalisasi aplikasi, perbaikan bug berdasarkan feedback testing, dan deploy ke lingkungan produksi.;;not_started;4.1;;followup;;;;;;;;
6988fb1d-dfb2-4779-841e-fad5ac02942f;7c88cb9d-9424-4446-861b-f2ccfe21924b;Perancangan Arsitektur dan Desain Sistem;2025-12-04;2025-12-08;100;2026-02-04 04:05:36.679073+00;Perancangan arsitektur sistem, UI/UX dashboard transkripsi, dan skema database.;;completed;1.1;;planning;;100;b09bb10d-6bf2-4001-8029-6eb6235ecc52;2026-02-04 04:09:27.651+00;;;;
9e9c2ae6-9b97-4226-bef6-6c2fb8ccd639;7c88cb9d-9424-4446-861b-f2ccfe21924b;Analisis dan Spesifikasi Kebutuhan AI;2025-12-01;2025-12-03;100;2026-02-04 04:05:36.030627+00;Analisis kebutuhan teknis untuk speech-to-text, penguatan audio, dan integrasi AI summarization.;;completed;1.1;;planning;;100;b09bb10d-6bf2-4001-8029-6eb6235ecc52;2026-02-04 04:09:24.249+00;;;;
c8221f4f-a696-46b3-90b0-add380009f76;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Desain Sistem dan UI/UX;2026-01-15;2026-02-04;100;2026-02-04 04:06:15.036509+00;Perancangan arsitektur database, UI/UX design (wireframe & mockup), dan alur kerja aplikasi.;;completed;1.2;;planning;;;;;;;;
55a1df81-6c21-4d5a-b52a-cb41780c142e;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Analisis Kebutuhan Sistem;2026-01-01;2026-01-14;100;2026-02-04 04:06:14.158303+00;Identifikasi kebutuhan fungsional dan teknis aplikasi SIMAPROS serta penyusunan dokumen Software Requirements Specification (SRS).;;completed;1.1;;planning;;;;;;;;
70ab76f5-6c6d-487c-be18-3a2186553dcf;48f8b37c-881f-4f0d-a945-2659ebfe3f37;Go-Live dan Pendampingan Layanan;2026-03-02;2026-03-06;0;2026-02-11 02:16:00.555036+00;Melakukan pemantauan transaksi awal dan memberikan edukasi kepada unit layanan terkait perubahan sistem.;;not_started;4.0;;followup;;;;;;;;
965cf065-4faa-4f13-94ad-b6e937d010c7;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Pengembangan Frontend Dashboard;2026-03-22;2026-04-30;100;2026-02-04 04:06:16.450915+00;Implementasi interface pengguna sesuai desain mock-up untuk dashboard dan modul input proyek.;;completed;2.2;;execution;;;;;;;;
33d26be2-ab19-49bc-ace0-10acbd2dc9a6;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Implementasi Fitur Monitoring & Reporting;2026-05-01;2026-05-30;100;2026-02-04 04:06:17.158309+00;Pengembangan fitur khusus untuk monitoring progres, manajemen resource, dan pelaporan otomatis.;;completed;2.3;;execution;;;;;;;;
6213e685-c6e5-475d-b6ef-5ad77a77a778;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Deployment dan Launching;2026-06-14;2026-06-20;0;2026-02-04 04:06:18.607592+00;Persiapan server produksi, migrasi data awal, dan peluncuran aplikasi (Go-Live).;;in_progress;2.4;;execution;;;;;;;;
61ea96fa-3a55-40e9-ba5f-5b279b3e0b25;7c88cb9d-9424-4446-861b-f2ccfe21924b;Implementasi Engine Transkripsi Real-time;2025-12-09;2025-12-23;100;2026-02-04 04:05:37.987297+00;Implementasi engine Speech-to-Text (STT) yang mendukung transkripsi berkelanjutan dengan latensi rendah.;;completed;2.1;;execution;;;;;;;;
3103a9be-8af8-4e12-b725-63471f43dc07;7c88cb9d-9424-4446-861b-f2ccfe21924b;Integrasi Backend dan Frontend Dashboard;2026-01-05;2026-01-20;100;2026-02-04 04:05:39.193228+00;Sinkronisasi antara transkripsi teks, pemrosesan AI, dan visualisasi di antarmuka pengguna.;;completed;2.3;;execution;;;;;;;;
bd07fd9b-c6a9-4b9b-a952-a80c1e110b00;7c88cb9d-9424-4446-861b-f2ccfe21924b;Pengembangan AI Summarization Pipeline;2025-12-24;2026-01-02;100;2026-02-04 04:05:38.589605+00;Pengembangan pipeline LLM untuk menghasilkan Summary, Key Decisions, Suggestions, dan Next Steps dari hasil transkripsi.;;completed;2.2;;execution;;;;;;;;
3ec2edc1-cce7-441b-b572-9e5e3c1c87ff;7c88cb9d-9424-4446-861b-f2ccfe21924b;Uji Coba Sistem (Alpha/Beta Testing);2026-01-21;2026-02-27;70;2026-02-04 04:05:39.889299+00;Pengujian performa sistem dalam berbagai kondisi kebisingan dan akurasi hasil ringkasan AI.;;in_progress;3.1;;evaluation;;;;;;;;
49072f17-afcb-435e-8a6f-d8277e5076ae;49544352-62fb-43b5-918a-af890a41f903;MoU;2025-12-01;2026-02-28;0;2026-02-10 03:44:32.634886+00;MoU antara TransMedic, Matrica, dan RSCM;Salman;in_progress;1;Menunggu informasi lanjutan MoU;planning;;;;;;;;
8646e251-4cbf-420c-8c68-36ba8220d81e;48f8b37c-881f-4f0d-a945-2659ebfe3f37;Analisis Kesenjangan (Gap Analysis) Sistem & Perdirut;2026-02-11;2026-02-13;0;2026-02-11 02:15:58.568168+00;Melakukan identifikasi kesenjangan antara fitur HISFS saat ini dengan regulasi yang ada di Perdirut Juknis Medik.;;not_started;1.0;;planning;;;;;;;;
498d6adc-c559-401e-bca9-b06f4259f7f0;efb258e2-81b3-4c8b-95ae-c976879891b4;Beauty Contest;2025-12-15;2026-02-10;100;2026-02-04 01:26:24.951654+00;Beauty Contest antara Mandiri, BSI, BNI, dan BTN;Salman;completed;1.2;masih dalam proses beauty contest untuk menentukan vendor;planning;;;;;;;;
