id;created_by;title;description;is_completed;completed_at;project_id;converted_meeting_id;created_at;updated_at
43b1d5ab-19c4-4d0c-ab4b-5812ba93a091;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Struktur Organisasi;;true;2026-02-26 07:09:48.829+00;;;2026-02-26 05:33:48.788054+00;2026-02-26 07:09:49.015924+00
b734bf19-f323-4f3e-80b0-f9b7ddafc4a6;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Buat Timeline ERP Dan jaringan;;true;2026-02-26 07:09:50.925+00;;;2026-02-26 05:33:33.153673+00;2026-02-26 07:09:51.101196+00
6142ca39-d335-42da-a885-5ad678a71f9f;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meeting membahas Gamma Knife;;false;;;;2026-03-04 03:32:00.795307+00;2026-03-04 03:32:00.795307+00
8c480f14-3956-47f8-9391-7da8572d06cc;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Site Visit ke RS Permata Jonggol;;true;2026-03-06 06:56:30.954+00;;;2026-02-26 03:16:07.479203+00;2026-03-06 06:56:30.604101+00
b4a147fc-af05-4176-b202-3ec35f5ac383;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;PPT Transformasi;;true;2026-03-06 06:56:48.021+00;;;2026-03-03 04:13:56.352072+00;2026-03-06 06:56:47.985527+00
744c63da-4ff9-4fdd-bc62-62ccba88b85b;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Pembuatan Big Data oleh matrica;Akses data CEEBM (under CRU) agar tidak manual lagi meminta ke IPSTI;true;2026-03-06 07:00:46.382+00;;;2026-03-03 03:47:58.529992+00;2026-03-06 07:00:46.028197+00
c1d045c6-5d18-4f67-b72a-b2268fe6aa91;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meeting dengan IPSTI;Pencatatan aktivitas nakes lain;true;2026-03-16 01:22:01.197+00;;;2026-03-09 02:00:54.428769+00;2026-03-16 01:22:01.356139+00
7d80d0cf-3d65-4758-b0e0-3c95c647058c;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Diskusi tentang THT IGD (IPSTI YANMED);Dipasang sistemnya dimana;false;;;;2026-03-26 04:46:33.613903+00;2026-04-06 02:15:43.204796+00
68746e73-e905-4bee-bc68-aedc15476d64;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Assessment Matrica;;false;;;;2026-04-14 03:35:44.443252+00;2026-04-14 03:35:44.443252+00
4d901e83-3393-4794-b02c-b63afbb0b216;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan dr Pinkan Kepala Radiologi;;true;2026-05-19 04:05:50.718+00;;;2026-05-18 09:10:12.851157+00;2026-05-19 04:05:51.051714+00
dfe0900e-5a92-4645-9189-bf78e9bd3c36;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Kesalahan Tarif intersivis yang berlaku;;true;2026-05-20 04:50:05.094+00;;;2026-05-19 04:05:42.393035+00;2026-05-20 04:50:05.327059+00
2cb51bdf-ada4-47b4-9de1-81913f1bd149;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Masalah Pembatasan laporan pembedahan;;true;2026-05-20 04:50:07.999+00;;;2026-05-19 04:05:10.63953+00;2026-05-20 04:50:08.224586+00
39411dca-f0d0-485f-8fbc-11771c0378b5;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Membahas Kewenangan klinis dengan OSDM dan Yanmed;;false;;;;2026-05-19 03:45:18.336648+00;2026-05-21 02:47:29.8762+00
43032547-df7d-46de-8772-fe7cfb174f6a;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;BPJS bisa baca billing HIS;;false;;;;2026-05-25 04:10:38.123966+00;2026-05-25 04:10:38.123966+00
49223cd8-8bb9-40f7-8b9f-827642b738f0;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;NDA Matrica;;true;2026-05-25 08:45:50.135+00;;;2026-04-23 03:27:05.569518+00;2026-05-25 08:45:50.307076+00
f89ad8d2-5b5b-4d48-bd20-fefc7af11a5a;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan ULP dan Akuntansi bahas SCM alkesus;;true;2026-06-05 00:50:38.791+00;;;2026-05-22 07:22:36.708499+00;2026-06-05 00:50:39.13437+00
dba3eb04-ca53-474e-8e11-0f9241904206;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Rapat Unifikasi;;false;;;;2026-06-23 09:11:35.392975+00;2026-06-23 09:11:35.392975+00
