id;project_id;created_by;title;meeting_date;meeting_time;description;attachment_url;created_at;updated_at;google_calendar_event_id
a3a26e8f-b93c-4099-8ac6-e9adfe5dd442;;b09bb10d-6bf2-4001-8029-6eb6235ecc52;Weekly Morning Briefing;2026-02-09;09:00:00;Weekly Morning Briefing with HTO;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/b09bb10d-6bf2-4001-8029-6eb6235ecc52/1770871015628.pdf;2026-02-12 04:36:57.480078+00;2026-02-12 04:36:57.480078+00;
9b0f3fc7-8cea-4702-abf4-37e17af48a46;424aaa37-81ae-445c-b401-2a18c1a6a409;9cdd2ef8-9811-4ba9-9d19-12e599da16df;user requirements;2026-02-12;15:00:00;user requirements;;2026-02-12 07:21:19.140546+00;2026-02-12 07:21:19.140546+00;
e5c780f7-2cbd-4978-bc00-a3d552bcd5da;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Konsolidasi HTO IPSTI;2026-02-13;10:00:00;Penyelarasan Goal IPSTI dan HTO;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1770970573440.pdf;2026-02-13 03:19:13.746417+00;2026-02-13 08:16:22.284046+00;
06370114-7f3e-4cfc-914d-afed8c65f4bf;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Imbal PPDS;2026-02-13;15:00:00;Pembahasan imbal PPDS menggunakan pot ketidakpatuhan DPJP;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1770974601816.pdf;2026-02-13 08:29:10.858509+00;2026-02-13 09:23:24.91032+00;
28f4335f-05e0-45ed-9871-2cb7b899bb65;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;gdhgh;2026-03-16;09:00:00;;;2026-03-16 01:27:05.129442+00;2026-03-16 01:27:05.129442+00;
ef40995a-eb6e-4c46-8ab1-6effdf45bf80;;186eb126-6bf5-45af-901f-0ea7b2c1018d;Meet dengan Pak Edhi;2026-02-19;10:30:00;Bahas matrica dan lainnya;;2026-02-19 00:55:30.744637+00;2026-02-19 00:55:30.744637+00;
a5a2beaa-ed5f-4211-88c0-2f3e50c73ae6;49544352-62fb-43b5-918a-af890a41f903;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Initial Technical Meeting;2026-02-18;13:00:00;https://meet.google.com/yas-tfqx-dqw;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/9cdd2ef8-9811-4ba9-9d19-12e599da16df/1771466710158.docx;2026-02-18 02:09:07.784084+00;2026-02-19 02:05:20.936603+00;
5674b617-0e93-4cec-b8eb-d1133a92ec60;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet membahas website RSCM yg baru;2026-02-20;10:00:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1771562336176.pdf;2026-02-20 03:36:03.982632+00;2026-02-20 04:38:58.526581+00;
b80c84b8-983a-425e-9371-9927e4f2df65;;44366c00-c707-46e9-bc25-a6e0009a77b0;Alur Proses Pembayaran Jasa Medis;2026-02-25;13:00:00;Ruang OSDM Lt.7;;2026-02-24 08:25:16.287523+00;2026-02-24 08:25:16.287523+00;
f46077aa-a104-4a46-959a-013cb75edcef;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan IPSTI;2026-03-26;10:00:00;"Tarif awal april
TDABC (yang kurang2 dan prioritas)
Unifikasi HIS-EJR
Modul tarif baru";https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1774503228639.pdf;2026-03-26 02:30:52.641841+00;2026-03-26 05:33:52.353125+00;
ab388ce8-c41e-4a93-bdf2-37dc684afd89;;44366c00-c707-46e9-bc25-a6e0009a77b0;Koordinasi dan FGD Departemen RSCM;2026-02-25;10:00:00;Ruang Rapat Direksi C;;2026-02-24 08:23:45.931306+00;2026-02-24 13:50:28.243642+00;
83af43b6-ce2e-4823-a8d2-95fece48973f;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Pak Edhi;2026-04-08;10:00:00;;;2026-04-07 07:26:14.910509+00;2026-04-07 07:26:44.385817+00;
c10d2a9f-87a9-42e0-8a77-542217346042;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Pak edhi;2026-02-25;10:30:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1771996844230.pdf;2026-02-20 03:48:07.03066+00;2026-02-25 05:20:47.852399+00;
